epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2593.05,0.99728,2.1229,1.3196,0.82734,0.64621,0.82625,0.56807,1.06951,1.72265,1.41376,0.000552237,0.000552237,0.000552237
2,4763.94,1.0449,1.42575,1.30342,0.81205,0.7736,0.87491,0.62639,1.00971,1.31892,1.31236,0.000888538,0.000888538,0.000888538
3,6560.05,1.01845,1.16903,1.27658,0.80556,0.82836,0.89284,0.65457,0.98423,1.02171,1.28701,0.0010048,0.0010048,0.0010048
4,8565.55,0.9306,0.96228,1.22066,0.93364,0.91502,0.96705,0.77307,0.78595,0.70235,1.14435,0.000676802,0.000676802,0.000676802
5,10083.1,0.83109,0.79636,1.15871,0.96882,0.9694,0.99038,0.82661,0.67832,0.49842,1.05733,0.000346736,0.000346736,0.000346736
